id	title	issue	year	variant	class	action	proposed_new_title	index_collision	collides_with	clean_peer_ids	convergence_loser_to	fmv_rows	fmv_rows_with_data	bid_links	created_at
407	Absolute Green Lantern #3 Jahnoy Lindsay Cover	3			C-variant-designation	delete		YES	417	417		1	0	0	2026-06-05 07:34:24
408	Absolute Flash #10 Nick Robles Cover	10			C-variant-designation	delete		YES	418	418		1	0	0	2026-06-05 07:34:24
409	Absolute Flash #9 Nick Robles Cover	9			C-variant-designation	delete		YES	419	419		1	0	0	2026-06-05 07:34:24
410	Absolute Flash #3 Nick Robles Cover	3			C-variant-designation	delete		YES	420	420		1	0	0	2026-06-05 07:34:24
411	Absolute Flash #2 Nick Robles Cover	2			C-variant-designation	delete		YES	421	421		1	0	0	2026-06-05 07:34:24
422	FANTASTIC FOUR # 31 - (VG-) -THE MAD MENACE OF THE MACABRE MOLE MAN-THING-TORCH	31			B-full-listing-title	delete		no		514		1	0	0	2026-06-10 05:00:07
423	WORLD'S FINEST # 200 - (VG+) -SUPERMAN/ROBIN-NEAL ADAMS COVER-ORGIN OF ROBIN	200			B-full-listing-title	rewrite	WORLD'S FINEST	no				1	0	0	2026-06-10 05:00:07
424	THE MIGHTY THOR # 130 - (NM-) -HERCULES-PLUTO-THUNDER IN THE NETHERWORLD-ASGARD	130			B-full-listing-title	rewrite	THE MIGHTY THOR	no				1	0	0	2026-06-10 05:00:08
425	AVENGERS # 56 - (FN/VF) -CAPTAIN AMERICA-BUCKY-HAWKEYE-GIANT-MAN-BLACK PANTHER	56			B-full-listing-title	delete		no		231,516		1	0	0	2026-06-10 05:00:08
426	THE MIGHTY THOR # 128 - (FN-) -THE POWER OF PLUTO-GOD OF THUNDER & SON OF ZEUS	128			B-full-listing-title	rewrite	THE MIGHTY THOR	no				1	0	0	2026-06-10 05:00:08
427	THE MIGHTY THOR # 137 - (FN/VF) -1ST ULIK THE TROLL-LOKI-SIF-ODIN-TRAGEDY HOGUN	137			B-full-listing-title	rewrite	THE MIGHTY THOR	no				1	0	0	2026-06-10 05:00:09
428	WORLD'S FINEST # 186 - (FINE) -SUPERMAN/BATMAN-THE BAT-WITCH MUST BURN-HOT-ROD	186			B-full-listing-title	rewrite	WORLD'S FINEST	no				1	0	0	2026-06-10 05:00:09
429	THE MIGHTY THOR # 157 - (VG+) -BEHIND HIM -RAGNAROK-LOKI-ODIN-ASGARD-HEIMDALL	157			B-full-listing-title	delete		no		169		1	0	0	2026-06-10 05:00:09
430	THE MIGHTY THOR # 164 - (FN-) -3RD APP OF HIM(WARLOCK)-LOKI-ODIN-GALACTUS-PLUTO	164			B-full-listing-title	delete		no		358		1	0	0	2026-06-10 05:00:10
431	THE MIGHTY THOR # 136 - (FN-) -TO BECOME IMMORTAL-2ND LADY SIF-MENACE OF UNKNOWN	136			B-full-listing-title	rewrite	THE MIGHTY THOR	no				1	0	0	2026-06-10 05:00:10
432	THE MIGHTY THOR # 128 - (FN+) -THE POWER OF PLUTO-GOD OF THUNDER & SON OF ZEUS	128			B-full-listing-title	delete		no			426	1	0	0	2026-06-10 05:00:11
433	THE MIGHTY THOR # 164 - (FN+) -3RD APP OF HIM(WARLOCK)-LOKI-ODIN-GALACTUS-PLUTO	164			B-full-listing-title	delete		no		358		1	0	0	2026-06-10 05:00:11
434	THE MIGHTY THOR # 166 - (VG) -THOR VS HIM(WARLOCK)-LOKI-ODIN-GALACTUS-PLUTO-EGO	166			B-full-listing-title	rewrite	THE MIGHTY THOR	no				1	0	0	2026-06-10 05:00:11
435	THE MIGHTY THOR # 175 - (VF-) -THE FALL OF ASGARD-THOR VS LOKI-ODIN-JANE FOSTER	175			B-full-listing-title	rewrite	THE MIGHTY THOR	no				1	0	0	2026-06-10 05:00:12
436	Uncanny X-men #129 Bronze age Byrne 1st Kitty Pryde Huge Key Fine+/FVF Newsstand	129			B-full-listing-title	delete		no		374,523		1	0	0	2026-06-10 05:00:12
437	Uncanny X-men #5,6,7,8,9  Bronze age lot of 5 Fine to VF	5			D-multi-issue-lot	rewrite	Uncanny X-men	no				1	0	0	2026-06-10 05:00:12
438	Classic X-men #1,2,3,4,5,6,7,8 Bronze age lot of 8 New X-men Art Adams FVF -VF	1			D-multi-issue-lot	delete		no		78		1	0	0	2026-06-10 05:00:13
439	X-men #58 Silver age Neal Adams 1st Havok Key	58			B-full-listing-title	delete		no		525		1	0	0	2026-06-10 05:00:13
440	X-men #49 Silver age Steranko 1st Polaris Key VG-	49			B-full-listing-title	delete		no		375,526		1	0	0	2026-06-10 05:00:13
441	X-men #39 Silver age VGF Wow	39			B-full-listing-title	delete		no		392,527		1	0	0	2026-06-10 05:00:13
442	Marvel Tales #238 McFarlane Newsstand X-men Spider-man FVF Beauty Wow	238			B-full-listing-title	delete		no		528		1	0	0	2026-06-10 05:00:14
443	Web of Spider-man #8 Bronze age Black Costume VF Beauty  Wow z	8			B-full-listing-title	delete		no		529		1	0	0	2026-06-10 05:00:14
444	Amazing Spider-man #25 Rare Kirkham virgin variant NM- Gem Wow	25			B-full-listing-title	delete		no		572		1	0	0	2026-06-10 05:00:15
445	Amazing Spider-man #5 1st Maddie Franklin Spider-girl NM Gem Wow	5			B-full-listing-title	rewrite	Amazing Spider-man	no				1	0	0	2026-06-10 05:00:15
446	Uncanny X-men #2 Silver age VG+ Wow	2			B-full-listing-title	delete		no		530		1	0	0	2026-06-10 05:00:16
447	Amazing Spider-man #9 Rare Lotay variant NM- Gem Wow	9			B-full-listing-title	rewrite	Amazing Spider-man	no				1	0	0	2026-06-10 05:00:16
448	Amazing Spider-man #18,19,20,21,22 lot of 5 NM Gems Wow	18			D-multi-issue-lot	rewrite	Amazing Spider-man	no				1	0	0	2026-06-10 05:00:16
449	Amazing Spider-man #2 J Scott Campbell Midtown Variant NM Gem  Wow	2			B-full-listing-title	rewrite	Amazing Spider-man	no				1	0	0	2026-06-10 05:00:16
450	Uncanny X-men #118 Bronze age Byrne Sunfire Fine+ Beauty Wow	118			B-full-listing-title	delete		no		397,531		1	0	0	2026-06-10 05:00:17
451	Amazing Spider-man #14,15,16,17,18 lot of 5 NM Gems Wow z	14			D-multi-issue-lot	rewrite	Amazing Spider-man	no				1	0	0	2026-06-10 05:00:17
452	Amazing Spider-man #7 Ms. Marvel VFNM beauty Wow z	7			B-full-listing-title	rewrite	Amazing Spider-man	no				1	0	0	2026-06-10 05:00:18
453	Giant Size X-men #1 Super Rare 1:100 Talavera virgin variant NM Gem Wow	1			B-full-listing-title	rewrite	Giant Size X-men	no				1	0	0	2026-06-10 05:00:18
454	Amazing Spider-man #10 Key 1t Spider-Punk VF Beauty Wow	10			B-full-listing-title	rewrite	Amazing Spider-man	no				1	0	0	2026-06-10 05:00:18
455	Amazing Spider-man #19,20,21,22,23 lot of 5 NM Gems Wow z	19			D-multi-issue-lot	rewrite	Amazing Spider-man	no				1	0	0	2026-06-10 05:00:19
456	Amazing Spider-man #6 Rare Mayhew Variant VF Beauty  Wow	6			B-full-listing-title	rewrite	Amazing Spider-man	no				1	0	0	2026-06-10 05:00:19
457	Amazing Spider-man #15 FVF Wow z	15			B-full-listing-title	delete		no		3		1	0	0	2026-06-10 05:00:19
458	Amazing Spider-man #25 Rare Ryan Brown variant NM- Gem Wow	25			B-full-listing-title	delete		no		572		1	0	0	2026-06-10 05:00:20
459	Amazing Spider-man #6 Rare Mayhew C virgin Variant Fine  Wow	6			B-full-listing-title	delete		no			456	1	0	0	2026-06-10 05:00:20
460	Amazing Spider-man #25 Rare Kirkham variant NM Gem Wow	25			B-full-listing-title	delete		no		572		1	0	0	2026-06-10 05:00:21
461	Amazing Spider-man #5 VF Beauty 2nd Silk Wow	5			B-full-listing-title	delete		no			445	1	0	0	2026-06-10 05:00:21
462	Amazing Spider-man #15 Dr. Doom NM Gem Wow	15			B-full-listing-title	delete		no		3		1	0	0	2026-06-10 05:00:21
463	Amazing Spider-man #23 Talavera Variant NM Gem Wow	23			B-full-listing-title	delete		no		4		1	0	0	2026-06-10 05:00:22
